date_month,quant_sell,customer_id
2014-06,1498,591381
2014-06,550,591339
2014-06,6945,591282
2014-06,1239,591416
2014-06,1210,591379
2014-06,150,591330
2014-06,1430,591423
2014-06,1119,591383
2014-06,30,591484
2014-06,397,1065041
2014-06,737,591308
2014-06,910,615250
2014-06,1228,591341
2014-06,845,591421
2014-06,908,591396
2014-06,1624,591539
2014-06,1150,591273
2014-06,1139,591399
2014-06,1199,591311
2014-06,2684,591326
2014-06,1376,591418
2014-06,3415,591533
2014-06,12,591495
2014-06,1140,591262
2014-06,1360,591394
2014-06,3401,591425
2014-06,2315,591385
2014-06,1190,591267
2014-06,825,591460
2014-06,168,591443
2014-06,460,591451
2014-06,785,591504
2014-06,560,591286
2014-06,1554,591541
2014-06,314,591469
2014-06,4470,591456
2014-06,2470,591297
2014-06,2210,591361
2014-06,1895,591352
2014-06,20,591471
2014-06,2180,591284
2014-06,1200,591440
2014-06,2246,591544
2014-06,750,591465
2014-06,1150,591447
2014-06,270,591506
2014-06,1021,591355
2014-06,4330,591293
2014-06,530,591500
2014-06,3074,591537
2014-06,5130,591295
2014-06,3778,591289
2014-06,979,591269
2014-06,251,591473
2014-06,350,591366
2014-06,2317,591438
2014-06,410,591467
2014-06,3712,591454
2014-06,410,591449
2014-06,1265,591359
2014-06,681,591462
2014-06,228,615246
2014-06,4910,591275
2014-06,3323,591291
2014-06,572,591458
2014-06,7680,591445
2014-07,1652,591401
2014-07,2179,591262
2014-07,1705,591311
2014-07,1722,591447
2014-07,888,591458
2014-07,1110,591541
2014-07,13,591495
2014-07,108,591471
2014-07,1035,615250
2014-07,2019,591273
2014-07,4731,591361
2014-07,1075,591421
2014-07,1290,591460
2014-07,2788,591326
2014-07,1160,591341
2014-07,18207,591445
2014-07,1145,591308
2014-07,1471,591399
2014-07,1470,591269
2014-07,1461,591418
2014-07,2164,591403
2014-07,1306,591267
2014-07,105,899315
2014-07,1443,591381
2014-07,9944,591454
2014-07,220,591498
2014-07,1776,591407
2014-07,2097,591319
2014-07,2850,591284
2014-07,990,591511
2014-07,5230,591275
2014-07,3900,591291
2014-07,1784,591412
2014-07,1410,591322
2014-07,191,762465
2014-07,75,591484
2014-07,1378,591451
2014-07,898,591414
2014-07,1429,591405
2014-07,7136,591282
2014-07,1960,591379
2014-07,595,591449
2014-07,1632,591416
2014-07,7245,591324
2014-07,1308,591355
2014-07,946,591500
2014-07,1515,591410
2014-07,2030,591502
2014-07,2099,591544
2014-07,1550,591313
2014-07,910,591339
2014-07,923,591487
2014-07,12985,591456
2014-07,5340,591293
2014-07,4410,591295
2014-07,4702,591533
2014-07,1114,591333
2014-07,894,591377
2014-07,797,591462
2014-07,920,591506
2014-07,595,615246
2014-07,6881,591429
2014-07,1500,591504
2014-07,2053,591278
2014-07,1610,591440
2014-07,810,591508
2014-07,2415,591535
2014-07,3524,591337
2014-07,2115,591302
2014-07,3101,591390
2014-07,960,591465
2014-07,1364,591392
2014-07,3745,591297
2014-07,640,591286
2014-07,1318,591476
2014-07,17320,591280
2014-07,4001,591434
2014-07,852,591335
2014-07,982,615248
2014-07,1211,591388
2014-07,1947,591359
2014-07,2735,591300
2014-07,671,591271
2014-07,730,591467
2014-07,1549,591438
2014-07,320,591366
2014-07,2090,591436
2014-07,980,591432
2014-07,7969,591427
2014-07,4018,591537
2014-07,1221,1159530
2014-07,1480,591423
2014-07,890,591396
2014-07,5184,591289
2014-07,1787,591383
2014-07,70,591473
2014-07,3063,591385
2014-07,4550,591425
2014-07,605,591330
2014-07,2265,591352
2014-07,1618,591394
2014-07,505,591469
2014-07,1768,591539
2014-07,4610,591304
2014-07,891,591260
2014-07,3890,591264
2014-07,651,591443
2014-07,924,1065041
2014-07,252,591478
2014-08,1128,591381
2014-08,820,591322
2014-08,561,591460
2014-08,512,591335
2014-08,1471,591388
2014-08,1454,591399
2014-08,917,591539
2014-08,1330,591291
2014-08,416,591511
2014-08,1601,591383
2014-08,700,591267
2014-08,1049,591289
2014-08,5,591495
2014-08,300,591467
2014-08,1556,591407
2014-08,515,591541
2014-08,1007,591392
2014-08,2596,591385
2014-08,5,899315
2014-08,10,591471
